Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
matelas 140x190 ergo confort epaisseur 14 cm rembourrage super soft juvenil ideal lits gigognes,Chambre Literie,Matelas,,"['140x190', '14 cm']","[ 0.00093556  0.00193362 -0.00019785 ...  0.00444141 -0.06473166
  0.00331852]",0.4352404,0.50154483,False,False,Chambre Literie,0.43524038791656494,Matelas,0.5315790176391602
meubles cuisine style etagere angle bambou 3 niveaux hauteur 85 cm,Décoration Textile,Rangement a poser,,['85 cm'],"[ 0.04096272 -0.00259122  0.01293144 ...  0.01685658  0.04514946
 -0.01899577]",0.2283152,0.4046488,False,False,Décoration Textile,0.44517412781715393,Rangement a poser,0.6206529140472412
atmosphera luminaire suspension perles noires bois h 53 cm,Enfant Bébé,Suspension,['noir'],['53 cm'],"[ 0.02253664  0.01813427 -0.01905232 ... -0.01224272  0.03174403
 -0.0172454 ]",0.032926157,0.33858907,True,False,Chambre Literie,0.13804271817207336,Suspension,0.4380963444709778
placard rangement meuble bas salle bain blanc windsor elegant home fashions elg 529,Cuisine Salle de bain,Colonne sdb,['blanc'],,"[ 0.05029972  0.0276521   0.03644598 ... -0.00798458  0.03704349
 -0.00191269]",0.5180257,0.37270087,False,False,Cuisine Salle de bain,0.5180256962776184,Colonne sdb,0.5802123546600342
filtre mousse seche linge whirlpool 481010354757,Gros Electroménager,Accessoire lavage,,,"[-0.01312715  0.05053534  0.08032693 ... -0.02318867  0.02199753
  0.00176954]",0.1602516,0.37303817,False,False,Gros Electroménager,0.2088380753993988,Accessoire lavage,0.5279990434646606
housse clic clac matelassee coton panama taupe,Canapé Salon Séjour,Housse clic-clac,['beige'],,"[-0.02612332  0.07368071  0.02114335 ... -0.01606286  0.00156409
 -0.02956076]",0.31935066,0.7304939,False,False,Canapé Salon Séjour,0.352408230304718,Housse clic-clac,0.7304939031600952
samsung swa 8500s kit denceintes arrieres sans fil barres hw mxxx,TV Son Multimédia,Ensemble Home cinema,,,"[ 0.01305662  0.05144821  0.03095234 ... -0.01415337 -0.0055683
  0.02081144]",0.20855038,0.26312456,False,False,TV Son Multimédia,0.2332172989845276,Ensemble Home cinema,0.5369422435760498
beko bce16300xp four compact multifonction pyrolyse 48l chaleur brassee inox,Gros Electroménager,Four,,,"[ 0.03061891  0.05490024  0.06077133 ...  0.01374871  0.00896859
 -0.00355122]",0.20393997,0.39517003,False,False,Gros Electroménager,0.28728169202804565,Four,0.4528345465660095
lot 2 voilages a anneaux 140 x 240 cm voile tisse milza beige,Décoration Textile,Voilage,['beige'],"['140 x 240 cm', '240 cm']","[-0.02421809 -0.01021222 -0.00121039 ... -0.0406258   0.00933463
 -0.01025658]",0.27397823,0.55940825,False,False,Décoration Textile,0.27397823333740234,Voilage,0.5594082474708557
trampoline jardin enfants 1 70 1 62h filet securite porte zipee couvre ressorts 6 poteaux rembourres inclus rouge,Jardin Loisirs Sport,Trampoline,['rouge'],,"[-0.0528349  -0.01113607 -0.0201363  ... -0.00491015 -0.01115431
 -0.00755822]",0.26954895,0.50881827,False,False,Jardin Loisirs Sport,0.2695489525794983,Trampoline,0.5088182687759399
tapis forsa scandinave,Décoration Textile,Tapis de Salon et Ch,,,"[ 0.00422711  0.01380413 -0.02968796 ...  0.00132252 -0.01682804
 -0.04196662]",0.3621969,0.5459378,False,False,Décoration Textile,0.3621968924999237,Tapis de Salon et Ch,0.5459377765655518
drap housse 2 personnes 140 x 190 cm jersey uni jersy bleu roi,Décoration Textile,Drap housse,['bleu'],"['140 x 190 cm', '190 cm']","[ 0.02630145  0.02495007 -0.02532761 ... -0.0108586   0.05760501
 -0.03336306]",0.36837846,0.6286399,False,False,Décoration Textile,0.3683784604072571,Drap housse,0.6286398768424988
giantex blocs construction mousse grands xl 5pieces jouets educatifs logiciel housse enfant ge prescol,Enfant Bébé,Jeu éducatif,,,"[-0.04608099 -0.00962474  0.01095921 ...  0.02594532  0.00260439
  0.02001025]",0.17413604,0.33960515,False,False,Enfant Bébé,0.29618483781814575,Jeu éducatif,0.5126489996910095
tosel demi lune lampadaire acier 1xe27 abat jour bol acier lo30xla30xh181 cm noir,Décoration Textile,Lampadaire,"['noir', 'gris']",,"[ 0.02614912  0.00888525 -0.00895517 ... -0.01111442 -0.011466
  0.00750757]",0.0734107,0.45387986,False,False,Décoration Textile,0.1616716831922531,Lampadaire,0.45676928758621216
cadre a lattes fixe 90x200 cm verni,Chambre Literie,Cadre à lattes,,['90x200 cm'],"[ 0.02181627 -0.02765127 -0.01660773 ... -0.02270363  0.03089199
  0.01876833]",0.14964747,0.7386082,False,False,Chambre Literie,0.20752057433128357,Cadre à lattes,0.738608181476593
matelas 140x190 ressorts ensaches bastille epaisseur 21cm,Chambre Literie,Matelas,,"['140x190', '21cm']","[-0.01923049 -0.00045068 -0.03634655 ... -0.01233578 -0.04699438
  0.01478987]",0.32300442,0.4669752,False,False,Chambre Literie,0.32300442457199097,Matelas,0.48398956656455994
boule led 50cm sphere decorative lumineuse 16 couleurs 50 cm chargeur sans fil induction,Jardin Loisirs Sport,Eclairage exterieur,,"['50cm', '50 cm']","[ 0.04673132  0.04919502 -0.02651328 ...  0.03052666  0.01894456
  0.02550866]",0.15242867,0.46657336,False,False,Jardin Loisirs Sport,0.18197642266750336,Eclairage exterieur,0.5051354765892029
valet chambre robin valet nuit porte v tements structure bois laque blanc,Bureau Rangement,Porte manteau,['blanc'],,"[ 0.02325295  0.00866753 -0.01678325 ...  0.01572057  0.02533473
 -0.01965348]",0.2541276,0.30861598,False,False,Bureau Rangement,0.3243241012096405,Porte manteau,0.4342454671859741
buffet moderne prune blanc fa ades laquees structure mat,Canapé Salon Séjour,Buffet,['blanc'],,"[ 0.01180852  0.02562131 -0.00317909 ... -0.01719436  0.01878364
  0.00344473]",0.17669885,0.3074993,False,False,Canapé Salon Séjour,0.2716555595397949,Buffet,0.5350284576416016
armoire angle 2 portes evolve bois blanc noir,Chambre Literie,Armoire,"['blanc', 'noir']",,"[ 0.01268366 -0.00639877 -0.0078793  ... -0.01571555  0.01037086
 -0.0225608 ]",0.23017487,0.58280325,False,False,Chambre Literie,0.3283213973045349,Armoire,0.638681948184967
siege assis a genoux hwc e10 appui genoux tabouret chaise bureau reglable similicuir metal noir,Canapé Salon Séjour,Tabouret,['noir'],,"[ 0.03391632 -0.04027968  0.00830473 ...  0.01252761  0.00330283
 -0.00613901]",0.23203556,0.47650236,False,False,Canapé Salon Séjour,0.3354439437389374,Tabouret,0.5092220902442932
meuble entree vestiaire entree darilel ch sonoma,Bureau Rangement,Vestiaire,,,"[-0.0397997  -0.01173006 -0.01246595 ... -0.01431018  0.01079693
  0.00187918]",0.32237273,0.4025498,False,False,Bureau Rangement,0.3537121117115021,Vestiaire,0.47048795223236084
film verre trempe coque silicone transparente clair iphone 8 plus,TV Son Multimédia,Acc telephonie,,,"[-0.00442053  0.00167741  0.01387642 ...  0.03366787  0.0038319
  0.02182736]",0.03059614,0.20890504,True,False,Cuisine Salle de bain,0.1362568736076355,Acc telephonie,0.33740657567977905
banc rangement cornelia meuble bas coffre 2 caisses bois paulownia blanc brun style maison campagne,Bureau Rangement,Mini commode,"['marron', 'blanc']",,"[ 0.01470406 -0.00198701  0.00558802 ... -0.0008665   0.01265265
  0.01261253]",0.4110654,0.3139425,False,False,Bureau Rangement,0.41106539964675903,Mini commode,0.5296993851661682
armoire adulte contemporaine gris clair vincent,Chambre Literie,Structure armoire,['gris'],,"[ 0.01177471  0.01855795  0.04594388 ...  0.00731117  0.03675601
 -0.00461973]",0.3398136,0.49710935,False,False,Chambre Literie,0.33981359004974365,Structure armoire,0.532023549079895
elea jeu 4 pieds 20 cm gris argent sommier tapissier,Chambre Literie,Jeu de pied,"['argenté', 'gris']",['20 cm'],"[ 0.0295886  -0.0616416   0.01328425 ...  0.00789988  0.04157199
 -0.00114914]",0.3802538,0.31044966,False,False,Chambre Literie,0.38025379180908203,Jeu de pied,0.46347373723983765
seb vc110800 cuiseur vapeur simply invents 3 bols noir,Petit Electroménager,Cuiseur vapeur,['noir'],,"[-0.01753954  0.02889207  0.00465327 ...  0.00472867 -0.01643314
  0.01524012]",0.1804991,0.51569605,False,False,Petit Electroménager,0.3959363102912903,Cuiseur vapeur,0.5156960487365723
banquette lit clic clac 2 coussins,Canapé Salon Séjour,Banquette,,,"[ 0.01095473  0.05899803 -0.01610858 ...  0.03401674 -0.00432966
 -0.01833579]",0.42088413,0.59239566,False,False,Canapé Salon Séjour,0.48513275384902954,Banquette,0.6002248525619507
tapis enfant terrain football 133 x 95 cm chambre foot,Enfant Bébé,Tapis enfant,,"['133 x 95 cm', '95 cm']","[-0.0321748  -0.03091048  0.00763899 ...  0.06726169  0.01363365
 -0.01986924]",0.23533429,0.46792054,False,False,Enfant Bébé,0.31596308946609497,Tapis enfant,0.5082029104232788
pack matelas sommier gris 140x200 memo luxe ressorts ensaches memoire forme 5 zones confort maxi epaisseur couette,Chambre Literie,Matelas + sommier,['gris'],['140x200'],"[-0.01523786  0.0224891   0.0295347  ... -0.00627765 -0.01585381
 -0.00505924]",0.50060844,0.61736226,False,False,Chambre Literie,0.5006084442138672,Matelas + sommier,0.6173622608184814
five armoire dangle 1 penderie 10 etages,Chambre Literie,Armoire lit,,,"[-0.002032    0.01708402  0.02228546 ... -0.00901032  0.02972143
 -0.00094777]",0.3016432,0.5029386,False,False,Chambre Literie,0.3819938600063324,Armoire lit,0.5449988842010498
lit metal katerina noir 140x190cm,Chambre Literie,Lit adulte,['noir'],['140x190cm'],"[-0.02711744  0.00965309 -0.00740027 ... -0.02060035 -0.04255422
 -0.00545632]",0.32895952,0.46394673,False,False,Chambre Literie,0.32895952463150024,Lit adulte,0.46540698409080505
vidaxl chaise salle a manger 6 pcs bois massif finition sesham,Canapé Salon Séjour,Chaise,,,"[ 0.03018306 -0.00160289 -0.0039435  ... -0.02549896  0.04322086
  0.02048616]",0.3035156,0.50127965,False,False,Canapé Salon Séjour,0.30351561307907104,Chaise,0.5131526589393616
awamoa table laquee noir blanc,Canapé Salon Séjour,Table,"['blanc', 'noir']",,"[ 3.7599947e-02  2.3954952e-02 -9.0367255e-05 ... -1.1769610e-03
 -1.2328754e-02 -4.5726657e-02]",0.26551855,0.44976342,False,False,Canapé Salon Séjour,0.26551854610443115,Table,0.4580785632133484
enceinte sono bafle 800w a leds rvb party led atsro portable 38cm usb bluetooth micro effet ovni,TV Son Multimédia,Sono lumière,,['38cm'],"[ 0.03143844  0.03343954  0.02473146 ...  0.0484627  -0.02148669
  0.02204837]",0.209696,0.38866043,False,False,TV Son Multimédia,0.21097207069396973,Sono lumière,0.4915642738342285
colonne 30 cm,Cuisine Salle de bain,Rangement sdb,,['30 cm'],"[ 3.9604384e-02 -4.8629932e-05  1.6865669e-02 ... -6.7680920e-03
  6.1891861e-03  1.9167669e-02]",0.11713934,0.114379585,False,True,Cuisine Salle de bain,0.229986310005188,Colonne sdb,0.5985442399978638
volet roulant pvc blanc h 155 cm x 150 cm a sangle,TV Son Multimédia,Motorisation volet,['blanc'],"['155 cm', '150 cm']","[ 0.01069866 -0.02138735 -0.0344846  ... -0.03144561  0.01925652
 -0.00428575]",0.06326971,0.4453044,False,False,TV Son Multimédia,0.16360536217689514,Motorisation volet,0.47605010867118835
table a manger ronde blanche 4 places bois scandinave 80 80,Canapé Salon Séjour,Table,,,"[ 7.2772764e-02  5.4763357e-05 -5.5884030e-02 ... -6.1405785e-03
  2.2161465e-02 -1.1581817e-03]",0.14034781,0.35471052,False,False,Canapé Salon Séjour,0.17004847526550293,Table,0.41670501232147217
plafonnier metal,Décoration Textile,Plafonnier,,,"[ 0.01062731 -0.00205201  0.0001871  ... -0.00272606  0.00774338
 -0.00410841]",0.19435158,0.6139406,False,False,Décoration Textile,0.19435158371925354,Plafonnier,0.6139405965805054
alimentation ordinateur portable hp compaq pavilion 17 ab202nf chargeur adaptateur 120w 19v 6 32a,TV Son Multimédia,Chargeur,,,"[ 0.04250662  0.03860002 -0.00190514 ... -0.00517824  0.02254749
  0.04533671]",0.061106615,0.42831573,True,False,TV Son Multimédia,0.11994805932044983,Chargeur,0.5380829572677612
feuille tropicale,Décoration Textile,Decoration de noel,,,[0.00210591 0.04383855 0.01614963 ... 0.02195763 0.00047952 0.00980217],0.22314489,0.14639701,False,True,Décoration Textile,0.3073555827140808,Taille haie,0.4384779930114746
sous lavabo 60 cm,Cuisine Salle de bain,Element bas SDB,,['60 cm'],"[ 0.00332757  0.01043164  0.00262574 ... -0.02228148 -0.0106272
  0.0117481 ]",0.4851219,0.49667072,False,False,Cuisine Salle de bain,0.4851219058036804,Element bas SDB,0.4966707229614258
table ovale scandinave lunea blanc,Canapé Salon Séjour,Table,['blanc'],,"[ 0.04113565  0.03049551 -0.00137232 ... -0.01267139 -0.00398061
 -0.05217352]",0.11988602,0.4489037,False,False,Canapé Salon Séjour,0.18152183294296265,Table,0.4555426836013794
shop story resistance bands set 5 bandes resistance elastiques fitness musculation,Jardin Loisirs Sport,Accessoire fitness,,,"[-0.01074952  0.0193952   0.00176664 ...  0.01451669  0.00215879
  0.0542075 ]",0.21700066,0.5118756,False,False,Jardin Loisirs Sport,0.21700066328048706,Accessoire fitness,0.5118756294250488
leifheit organisateur chaussures suspendu 24 poches noir 80015,Bureau Rangement,Vestiaire,['noir'],,"[-0.05889207 -0.01443921  0.02622782 ... -0.02682351 -0.01268446
  0.00506169]",0.2376373,0.23462173,False,False,Bureau Rangement,0.23763729631900787,Vestiaire,0.48057806491851807
icaverne lits cadres lit gamme cadre lit bois pin massif 120 x 200 cm,Chambre Literie,Lit adulte,,"['120 x 200 cm', '200 cm']","[ 0.02563103  0.01957325 -0.01685114 ... -0.02642171  0.00722762
  0.03391987]",0.37418416,0.49875054,False,False,Chambre Literie,0.37418416142463684,Lit adulte,0.5110012888908386
micro ondes 900w 21l 7 programmes automatiques adaptation automatique poids,Gros Electroménager,Micro ondes,,,"[-0.03259405 -0.01013694 -0.01955116 ... -0.0289579  -0.02656963
  0.02256908]",0.15616539,0.45161262,False,False,Gros Electroménager,0.23177926242351532,Micro ondes,0.4516126215457916
bibliotheque ronde petite histoire enfant roulettes gris atmosphera,Chambre Literie,Ensemble chambre,['gris'],,"[ 0.04680745  0.00180565  0.02337882 ...  0.08164254 -0.01591382
  0.00582874]",0.12033796,0.07588924,False,True,Chambre Literie,0.21336674690246582,Bibliotheque,0.38553836941719055
couverts enfants 4 pieces princesses wmf,Décoration Textile,Menagere couvert,,,"[ 0.0075825  -0.06158395  0.02945029 ...  0.01536382  0.00454322
  0.02577083]",0.10055704,0.22527964,False,False,Décoration Textile,0.31213316321372986,Menagere couvert,0.4074954092502594
matelas mousse 120x190 2 degres fermete,Bureau Rangement,Meuble à chaussures,,['120x190'],"[ 0.0018049   0.00803269  0.01920736 ...  0.0031981  -0.03006886
 -0.00900395]",0.10176314,0.18659656,False,False,Bureau Rangement,0.36870694160461426,Meuble à chaussures,0.6026595830917358
canape angle convertible tony 3 places noir,Canapé Salon Séjour,Canapé d'angle,['noir'],,"[ 0.0174456   0.02425865  0.00813395 ...  0.01550067  0.00763027
 -0.07158861]",0.5391457,0.70976955,False,False,Canapé Salon Séjour,0.5391457080841064,Canapé d'angle,0.7097695469856262
table basse ovale manguier massif l100 cm vibes,Canapé Salon Séjour,Table basse,,,"[ 0.01297634 -0.00333375  0.01841635 ... -0.00484989 -0.01614179
  0.02684703]",0.18501192,0.5224452,False,False,Canapé Salon Séjour,0.21375501155853271,Table basse,0.5224452018737793
rideau a oeillets 100 occultant 135x180 cm eclipse moutarde soleil ocre,Décoration Textile,Rideau,['jaune'],['135x180 cm'],"[-0.00128611 -0.01800498  0.01659439 ... -0.00301773  0.00346864
  0.01624367]",0.14665595,0.37878412,False,False,Décoration Textile,0.14947456121444702,Rideau,0.4951130151748657
voiture course radiocommandee bleue,Enfant Bébé,Jouet véhicule,['bleu'],,"[ 0.03047267  0.0587716  -0.03422312 ...  0.05900556 -0.00918074
 -0.01586989]",0.11084046,0.25160545,False,False,Enfant Bébé,0.21659448742866516,Jouet véhicule,0.4540008306503296
matelas carlton 90x190 ressorts memoire forme,Chambre Literie,Matelas,,['90x190'],"[ 0.00418554  0.05123122  0.02391405 ...  0.01592863 -0.05914795
 -0.00605081]",0.3485393,0.52348435,False,False,Chambre Literie,0.3485392928123474,Matelas,0.540168046951294
store enrouleur occultant uni colore 60 x 180cm,Décoration Textile,Store,,"['60 x 180cm', '180cm']","[ 0.00933688  0.03679935 -0.03041278 ... -0.04810809 -0.00064659
  0.0029838 ]",0.29423732,0.39716214,False,False,Décoration Textile,0.29423731565475464,Store,0.5970085859298706
vidaxl table salle a manger 140x70x75cm bois recuperation massif,Canapé Salon Séjour,Table,,,"[ 0.00263648  0.03103568 -0.00254069 ...  0.00639349  0.00194936
  0.02177123]",0.26991534,0.42916077,False,False,Canapé Salon Séjour,0.2699153423309326,Table,0.45977115631103516
matelas 80x200 mousse a memoire fresh a 9 zones,Chambre Literie,Surmatelas,,['80x200'],"[ 0.00800338  0.02315041  0.00921159 ... -0.01793151 -0.02489571
 -0.00672876]",0.4393426,0.5288704,False,False,Chambre Literie,0.43934258818626404,Surmatelas,0.5288704037666321
table basse kumi grise,Canapé Salon Séjour,Table basse,['gris'],,"[ 0.04748472  0.03282012  0.00760223 ...  0.03602757  0.0378424
 -0.02354247]",0.21086201,0.5684991,False,False,Canapé Salon Séjour,0.21724073588848114,Table basse,0.5684990882873535
porte papier toilette pied acier inox dim 25 5 x 54 x 18 cm pegane,Cuisine Salle de bain,Porte serviette,['gris'],"['54 x 18 cm', '18 cm']","[-0.00733587 -0.01798877  0.04194915 ... -0.04044323 -0.00570399
  0.04823248]",0.20274493,0.32713717,False,False,Cuisine Salle de bain,0.20274493098258972,Porte serviette,0.34029868245124817
icaverne bibliotheques famille bibliotheque a 4 niveaux noir 40x24x142 cm agglomere,Bureau Rangement,Bibliotheque,['noir'],,"[-0.0110609  -0.02202887  0.00429131 ...  0.00945862 -0.04494547
 -0.00591674]",0.29172754,0.5399773,False,False,Bureau Rangement,0.29172754287719727,Bibliotheque,0.5399773120880127
brosse 2 positions g98 xarion purepower aspirateur hoover 35600878 04845090,Petit Electroménager,Accessoire aspi,,,"[ 0.06399627  0.03330578  0.04812704 ... -0.02694096 -0.0449013
 -0.00113741]",0.0878088,0.13490018,False,True,Petit Electroménager,0.16927959024906158,Aspirateur robot,0.4316025376319885
vidaxl canape a 2 places rev tement tissu 115x60x67 cm bleu,Canapé Salon Séjour,Canapé d'angle,['bleu'],,"[-0.02086385  0.04596961 -0.00046552 ... -0.007308    0.06859666
 -0.00503123]",0.41738862,0.46506512,False,False,Canapé Salon Séjour,0.4173886179924011,Canapé d'angle,0.47700628638267517
ensemble matelas mousse reversible stratus sommier made in france dimensions 140 x 190 cm sommier bleu denim,Chambre Literie,Matelas + sommier,['bleu'],"['140 x 190 cm', '190 cm']","[-0.02390528  0.00375942 -0.00332009 ... -0.01659821 -0.01701503
 -0.03705756]",0.40044868,0.6129545,False,False,Chambre Literie,0.40044867992401123,Matelas + sommier,0.6129544973373413
